Solveur,Runs,Mean_T_flat,Median_T_flat,Mean_T_solve,Median_T_solve,Mean_T_total,Median_T_total,Q1_T_total,Q3_T_total,Min_T_total,Max_T_total,Timeout_Count,Error_Count,Success_Count,Success_Rate,OPT_Count,OPT_Rate
COIN-BC,10,0.5464918,0.448646,1.1504100000000002,0.7546999999999999,1.4932768154000768,0.8876903005000258,0.5706767149999905,1.924557378750137,0.3337536089998139,4.0205687679999755,0,0,10,1.0,5,0.5
Chuffed,10,0.23541220000000002,0.1875725,0.0865,0.0615,0.38423742540007877,0.31730060400013826,0.2149245147501233,0.38050415375016655,0.15459996400022646,0.88770458099998,0,0,10,1.0,5,0.5
Gecode,10,0.23406509999999997,0.183002,1.0012,0.2495,1.0235996764001356,0.26755812400006107,0.20623057550005797,0.40895851650009263,0.16890409000006912,4.475105395000355,0,0,10,1.0,5,0.5
HiGHS,10,0.5661272,0.389953,0.63412,0.54575,1.2962498972000958,1.136760159500227,0.7046006074997422,1.945513836750024,0.2981051680003475,2.8406389149999995,0,0,10,1.0,5,0.5
OR Tools CP-SAT,10,0.2550214,0.187128,0.40081120000000003,0.263251,0.593802758899983,0.3921716685001684,0.2813566197499995,0.640474449250064,0.19092296100006934,1.560088734999681,0,0,10,1.0,5,0.5
