Solveur,Runs,Mean_T_flat,Median_T_flat,Mean_T_solve,Median_T_solve,Mean_T_total,Median_T_total,Timeout_Count,Error_Count,Success_Count,Success_Rate
COIN-BC,2,1.422262,1.422262,1.3237,1.3237,2.8533910459991603,2.8533910459991603,0,0,2,1.0
Chuffed,2,0.5619095,0.5619095,0.1285,0.1285,0.8394165279969457,0.8394165279969457,0,0,2,1.0
Gecode,2,0.465538,0.465538,0.6255,0.6255,0.6810229060029087,0.6810229060029087,0,0,2,1.0
HiGHS,2,1.4260585,1.4260585,1.2074500000000001,1.2074500000000001,2.8860869234995334,2.8860869234995334,0,0,2,1.0
OR Tools CP-SAT,2,0.4665745,0.4665745,1.6707855,1.6707855,1.8026848304980376,1.8026848304980376,0,0,2,1.0
