Solveur,Runs,Mean_T_flat,Median_T_flat,Mean_T_solve,Median_T_solve,Mean_T_total,Median_T_total,Timeout_Count,Error_Count,Success_Count,Success_Rate
COIN-BC,2,7.788325,7.788325,148.1189,148.1189,152.55181220599843,152.55181220599843,0,0,2,1.0
Chuffed,2,2.436445,2.436445,2.0215,2.0215,5.199573511996277,5.199573511996277,0,0,2,1.0
Gecode,2,2.75341,2.75341,3.997,3.997,152.30707896850072,152.30707896850072,0,0,2,1.0
HiGHS,2,8.408275,8.408275,119.45815,119.45815,129.73445923349573,129.73445923349573,0,0,2,1.0
OR Tools CP-SAT,2,2.26678,2.26678,8.498764999999999,8.498764999999999,11.023933934000524,11.023933934000524,0,0,2,1.0
